PERMNO,date,TICKER,COMNAM,RET
77178,20080125,QCOM,QUALCOMM INC,-0.010146
77178,20080128,QCOM,QUALCOMM INC,0.0125
77178,20080129,QCOM,QUALCOMM INC,-0.004938
77178,20080130,QCOM,QUALCOMM INC,-0.000496
77178,20080131,QCOM,QUALCOMM INC,0.053128
77178,20080201,QCOM,QUALCOMM INC,-0.005186
77178,20080204,QCOM,QUALCOMM INC,-0.008294
77178,20080205,QCOM,QUALCOMM INC,-0.027001
77178,20080206,QCOM,QUALCOMM INC,-0.026277
77178,20080207,QCOM,QUALCOMM INC,0.032535
77178,20080208,QCOM,QUALCOMM INC,0.023937
77178,20080211,QCOM,QUALCOMM INC,-0.001431
77178,20080212,QCOM,QUALCOMM INC,-0.021978
77178,20080213,QCOM,QUALCOMM INC,0.026136
77178,20080214,QCOM,QUALCOMM INC,-0.027136
77178,20080215,QCOM,QUALCOMM INC,0.032542
77178,20080219,QCOM,QUALCOMM INC,-0.005924
77178,20080220,QCOM,QUALCOMM INC,0.03385
77178,20080221,QCOM,QUALCOMM INC,-0.021905
77178,20080222,QCOM,QUALCOMM INC,0.024753
77178,20080225,QCOM,QUALCOMM INC,0.005751
77178,20080226,QCOM,QUALCOMM INC,-0.00183
77178,20080227,QCOM,QUALCOMM INC,0.006645
77178,20080228,QCOM,QUALCOMM INC,-0.010733
77178,20080229,QCOM,QUALCOMM INC,-0.02147
77178,20080303,QCOM,QUALCOMM INC,-0.029958
77178,20080304,QCOM,QUALCOMM INC,0.002189
77178,20080305,QCOM,QUALCOMM INC,0.007035
77178,20080306,QCOM,QUALCOMM INC,-0.025781
77178,20080307,QCOM,QUALCOMM INC,-0.004699
77178,20080310,QCOM,QUALCOMM INC,-0.026591
77178,20080311,QCOM,QUALCOMM INC,0.006451
77178,20080312,QCOM,QUALCOMM INC,0.008302
77178,20080313,QCOM,QUALCOMM INC,0.012579
77178,20080314,QCOM,QUALCOMM INC,-0.025342
77178,20080317,QCOM,QUALCOMM INC,-0.018608
77178,20080318,QCOM,QUALCOMM INC,0.042338
77178,20080319,QCOM,QUALCOMM INC,-0.056815
77178,20080320,QCOM,QUALCOMM INC,0.011096
77178,20080324,QCOM,QUALCOMM INC,0.042331
77178,20080325,QCOM,QUALCOMM INC,0.022813
77178,20080326,QCOM,QUALCOMM INC,-0.007598
77178,20080327,QCOM,QUALCOMM INC,-0.019017
77178,20080328,QCOM,QUALCOMM INC,0.010574
77178,20080331,QCOM,QUALCOMM INC,0.021425
77274,20080102,GILD,GILEAD SCIENCES INC,-0.014562
77274,20080103,GILD,GILEAD SCIENCES INC,0.034186
77274,20080104,GILD,GILEAD SCIENCES INC,-0.021113
77274,20080107,GILD,GILEAD SCIENCES INC,0.039433
77274,20080108,GILD,GILEAD SCIENCES INC,-0.018026
77274,20080109,GILD,GILEAD SCIENCES INC,0.035219
77274,20080110,GILD,GILEAD SCIENCES INC,-0.005773
77274,20080111,GILD,GILEAD SCIENCES INC,0.00954
77274,20080114,GILD,GILEAD SCIENCES INC,-0.010682
77274,20080115,GILD,GILEAD SCIENCES INC,-0.019518
77274,20080116,GILD,GILEAD SCIENCES INC,0.008471
77274,20080117,GILD,GILEAD SCIENCES INC,-0.00819
77274,20080118,GILD,GILEAD SCIENCES INC,-0.022443
77274,20080122,GILD,GILEAD SCIENCES INC,-0.04256
77274,20080123,GILD,GILEAD SCIENCES INC,0.013731
77274,20080124,GILD,GILEAD SCIENCES INC,0.017585
77274,20080125,GILD,GILEAD SCIENCES INC,-0.055482
77274,20080128,GILD,GILEAD SCIENCES INC,-0.001625
77274,20080129,GILD,GILEAD SCIENCES INC,0.003488
77274,20080130,GILD,GILEAD SCIENCES INC,0.019699
77274,20080131,GILD,GILEAD SCIENCES INC,0.038409
77274,20080201,GILD,GILEAD SCIENCES INC,0.005253
77274,20080204,GILD,GILEAD SCIENCES INC,0.007838
77274,20080205,GILD,GILEAD SCIENCES INC,-0.037157
77274,20080206,GILD,GILEAD SCIENCES INC,0.006731
77274,20080207,GILD,GILEAD SCIENCES INC,-0.009806
77274,20080208,GILD,GILEAD SCIENCES INC,0.002251
77274,20080211,GILD,GILEAD SCIENCES INC,0.001572
77274,20080212,GILD,GILEAD SCIENCES INC,0.010987
77274,20080213,GILD,GILEAD SCIENCES INC,0.007984
77274,20080214,GILD,GILEAD SCIENCES INC,-0.015622
77274,20080215,GILD,GILEAD SCIENCES INC,-0.002682
77274,20080219,GILD,GILEAD SCIENCES INC,0.01255
77274,20080220,GILD,GILEAD SCIENCES INC,0.009296
77274,20080221,GILD,GILEAD SCIENCES INC,-0.036623
77274,20080222,GILD,GILEAD SCIENCES INC,-0.022991
77274,20080225,GILD,GILEAD SCIENCES INC,0.016309
77274,20080226,GILD,GILEAD SCIENCES INC,0.010087
77274,20080227,GILD,GILEAD SCIENCES INC,-0.006128
77274,20080228,GILD,GILEAD SCIENCES INC,0.038137
77274,20080229,GILD,GILEAD SCIENCES INC,0.040915
77274,20080303,GILD,GILEAD SCIENCES INC,0.026416
77274,20080304,GILD,GILEAD SCIENCES INC,0.015442
77274,20080305,GILD,GILEAD SCIENCES INC,-0.007299
77274,20080306,GILD,GILEAD SCIENCES INC,-0.023489
77274,20080307,GILD,GILEAD SCIENCES INC,0.018615
77274,20080310,GILD,GILEAD SCIENCES INC,-0.052772
77274,20080311,GILD,GILEAD SCIENCES INC,0.024401
77274,20080312,GILD,GILEAD SCIENCES INC,0.015964
77274,20080313,GILD,GILEAD SCIENCES INC,0.009998
77274,20080314,GILD,GILEAD SCIENCES INC,-0.019385
77274,20080317,GILD,GILEAD SCIENCES INC,-0.016614
77274,20080318,GILD,GILEAD SCIENCES INC,0.028443
77274,20080319,GILD,GILEAD SCIENCES INC,-0.011021
77274,20080320,GILD,GILEAD SCIENCES INC,0.018293
77274,20080324,GILD,GILEAD SCIENCES INC,0.024365
77274,20080325,GILD,GILEAD SCIENCES INC,0.02822
77274,20080326,GILD,GILEAD SCIENCES INC,-0.015095
